Espacio,Municipio,Tipo,Capacidad,Parking,Inicio totalidad,Duración totalidad,Dist_carretera_km,Tiempo_Maps,Dist_centerline_km
La Marina Tárraco,Tarragona (Tarragona),Puerto deportivo,-,-,20:29:24,0m 59s,250.7,02h 42min,97.2
Polígon Industrial de Roques Planes,Torredembarra (Tarragona),Explanada,1.170,570,20:29:23,0m 51s,263.8,02h 51min,105.6
Polígon Industrial de Valls,Valls (Tarragona),Explanada,4.100,1.900,20:29:18,0m 41s,264.9,02h 52min,113.2
Ermita de San Cristóbal,Benasal (Castellón),Espacio natural,1.000,Sí,20:30:37,1m 39s,130.5,01h 55min,31.8
Playas del Pinar y del Gurugú,Castellón de la Plana (Castellón),Playa,50.000,Sí,20:31:14,1m 33s,70.4,00h 58min,63.4
Parque municipal de Les Useres,Les Useres (Castellón),Parque,2.000,Sí,20:30:59,1m 37s,94.7,01h 27min,53.8
Peñíscola,Peñíscola (Castellón),(sin especificar),5.000,Sí,20:30:37,1m 39s,136.0,01h 34min,10.8
"Partidas, en Aras de los Olmos",Aras de los Olmos (Valencia),Espacio natural,5.000,Sí,20:31:48,1m 15s,101.8,01h 23min,113.2
Muela de Santa Catalina,Aras de los Olmos (Valencia),Espacio natural,1.000,Sí,20:31:48,1m 15s,101.8,01h 23min,113.2
Castillo de Macastre,Macastre (Valencia),Espacio natural,4.500,Sí,20:32:58,0m 23s,60.5,01h 20min,154.1
Playa de Puzol,Puzol (Valencia),Playa,1.000,Sí,20:32:03,1m 13s,17.7,00h 23min,109.3
Pico del Remedio,Utiel (Valencia),Espacio natural,2.000,Sí,20:32:43,0m 33s,93.2,01h 06min,151.8
Playa de la Malvarrosa,Valencia (Valencia),Playa,10.000,Sí,20:32:24,1m 00s,15.9,00h 15min,126.9
Estaca de Bares,Mañón (A Coruña),Espacio natural,-,-,20:26:38,1m 47s,988.4,11h 10min,43.2
Garita de Bares,Mañón (A Coruña),Mirador,-,-,20:26:38,1m 47s,988.4,11h 10min,43.2
Semáforo de Bares,Mañón (A Coruña),Mirador,-,-,20:26:38,1m 47s,988.4,11h 10min,43.2
Castillo de San Antón,A Coruña (A Coruña),Paseo marítimo,-,-,20:27:35,1m 16s,963.0,10h 31min,115.1
Paseo Marítimo central,A Coruña (A Coruña),Paseo marítimo,-,-,20:27:35,1m 16s,963.0,10h 31min,115.1
Paseo Marítimo O Portiño,A Coruña (A Coruña),Paseo marítimo,-,-,20:27:35,1m 16s,963.0,10h 31min,115.1
Playa de Riazor-Orzán,A Coruña (A Coruña),Playa,-,-,20:27:35,1m 16s,963.0,10h 31min,115.1
Alcalá de Henares,Alcalá de Henares (Madrid),(sin especificar),-,-,20:31:47,0m 40s,370.6,04h 13min,140.6
Las piscinas de Riosequillo,Buitrago del Lozoya (Madrid),Espacio natural,-,-,20:30:42,1m 19s,438.1,04h 49min,97.1
Puerto de Navacerrada,Cercedilla (Madrid),(sin especificar),-,-,20:31:34,0m 35s,437.9,06h 23min,134.0
Colmenar Viejo,Colmenar Viejo (Madrid),(sin especificar),-,-,20:31:35,0m 41s,399.6,04h 28min,137.3
El Molar,El Molar (Madrid),(sin especificar),-,-,20:31:15,1m 01s,402.6,04h 26min,122.9
La Cabrera,La Cabrera (Madrid),(sin especificar),-,-,20:30:58,1m 11s,418.7,04h 35min,112.1
Meco,Meco (Madrid),(sin especificar),-,-,20:31:33,0m 52s,379.1,04h 19min,132.0
San Agustín del Guadalix,San Agustín del Guadalix (Madrid),(sin especificar),-,-,20:31:25,0m 53s,398.9,04h 37min,128.0
Campo de fútbol Calle Teide,San Sebastián de los Reyes (Madrid),Explanada,20.000,-,20:31:48,0m 31s,382.2,04h 14min,143.2
Villa de Somosierra,Somosierra (Madrid),(sin especificar),-,-,20:30:23,1m 29s,453.7,05h 02min,80.5
Tres Cantos,Tres Cantos (Madrid),(sin especificar),-,-,20:31:42,0m 36s,390.1,04h 22min,140.8
Sendaviva,Arguedas (Navarra),Parque de atracciones,-,-,20:28:23,1m 13s,387.9,04h 38min,86.2
Bardenas Reales - Embalse El Ferial,Mélida (Navarra),Espacio natural,-,-,20:28:13,0m 57s,399.6,04h 52min,95.3
Bardenas Reales - Aguilares,Arguedas (Navarra),Centro de visitantes,-,-,20:28:23,1m 13s,387.9,04h 38min,86.2
Arguedas,Arguedas (Navarra),(sin especificar),-,-,20:28:23,1m 13s,387.9,04h 38min,86.2
Buñuel,Buñuel (Navarra),(sin especificar),-,-,20:28:36,1m 20s,410.2,06h 29min,67.2
Cárcar,Cárcar (Navarra),(sin especificar),-,-,20:28:09,1m 11s,432.8,05h 02min,99.9
Cascante,Cascante (Navarra),(sin especificar),-,-,20:28:35,1m 25s,387.8,04h 17min,72.6
Castejón,Castejón (Navarra),(sin especificar),-,-,20:28:24,1m 16s,395.9,04h 26min,88.2
Corella,Corella (Navarra),(sin especificar),-,-,20:28:27,1m 22s,402.5,04h 28min,80.2
Fitero,Fitero (Navarra),(sin especificar),-,-,20:28:32,1m 26s,403.5,04h 38min,71.8
Larraga,Larraga (Navarra),(sin especificar),-,-,20:28:01,0m 52s,460.1,05h 10min,122.7
Campo de Fútbol Viejo de Lerín,Lerín (Navarra),Explanada,5.000,Sí,20:28:04,1m 04s,455.2,05h 26min,108.3
Lodosa,Lodosa (Navarra),(sin especificar),-,-,20:28:07,1m 12s,444.0,04h 53min,100.3
Marcilla,Marcilla (Navarra),(sin especificar),-,-,20:28:14,1m 07s,425.8,04h 58min,102.4
Mendavia,Mendavia (Navarra),(sin especificar),-,-,20:28:05,1m 15s,457.7,05h 09min,98.8
Peralta,Peralta (Navarra),(sin especificar),-,-,20:28:13,1m 08s,428.6,04h 45min,101.6
Ribaforada,Ribaforada (Navarra),(sin especificar),-,-,20:28:35,1m 21s,390.3,04h 39min,73.6
Tafalla,Tafalla (Navarra),(sin especificar),-,-,20:28:05,0m 45s,444.6,04h 55min,125.5
Tudela,Tudela (Navarra),(sin especificar),-,-,20:28:31,1m 20s,382.8,04h 18min,81.4
Viana,Viana (Navarra),(sin especificar),-,-,20:28:00,1m 16s,478.3,05h 14min,98.7
