Espacio,Municipio,Tipo,Capacidad,Parking,Inicio_totalidad,Duracion_totalidad,Dist_carretera_km,Tiempo_Maps
Cooperativa Agrícola de Cambrils,Cambrils (Tarragona),Explanada,-,-,20:29:27,1m 09s,,
Carrer Joan Miró,Constantí (Tarragona),Explanada,1.600,680,20:29:22,58s,,
Polígon Industrial la Plana,Gandesa (Tarragona),Explanada,2.000,1.800,20:29:32,1m 24s,,
Can Gironès,L'Aldea (Tarragona),Explanada,4.500,2.500,20:29:54,1m 32s,,
Camp de futbol,L'Atmetlla de Mar (Tarragona),Campo de fútbol,1.250,500,20:29:41,1m 25s,,
les Palomeres,Montbrió del Camp (Tarragona),Explanada,2.500,600,20:29:24,1m 07s,,
Fira de Móra la Nova,Móra la Nova (Tarragona),Campo de feria,3.800,1.500,20:29:27,1m 18s,,
Horts del Queri,Reus (Tarragona),Parque,1.750,900,20:29:22,1m 01s,,
Parc de la Festa de Reus,Reus (Tarragona),Explanada,5.000,2.500,20:29:22,1m 01s,,
Carretera de la Galera,Santa Bárbara (Tarragona),Explanada,1.100,520,20:29:57,1m 34s,,
L'Anella Mediterrànea,Tarragona (Tarragona),Parque,-,-,20:29:24,59s,,
La Marina Tárraco,Tarragona (Tarragona),Puerto deportivo,-,-,20:29:24,59s,,
Polígon Industrial de Roques Planes,Torredembarra (Tarragona),Explanada,1.170,570,20:29:23,51s,,
Polígon Industrial de Valls,Valls (Tarragona),Explanada,4.100,1.900,20:29:18,41s,,
Ermita de San Cristóbal,Benasal (Castellón),Espacio natural,1.000,Sí,20:30:37,1m 39s,,
Playas del Pinar y del Gurugú,Castellón de la Plana (Castellón),Playa,50.000,Sí,20:31:14,1m 33s,,
Parque municipal de Les Useres,Les Useres (Castellón),Parque,2.000,Sí,20:30:59,1m 37s,,
Peñíscola,Peñíscola (Castellón),(sin especificar),5.000,Sí,20:30:37,1m 39s,,
Partidas en Aras de los Olmos,Aras de los Olmos (Valencia),Espacio natural,5.000,Sí,20:31:48,1m 15s,,
Muela de Santa Catalina,Aras de los Olmos (Valencia),Espacio natural,1.000,Sí,20:31:48,1m 15s,,
Castillo de Macastre,Macastre (Valencia),Espacio natural,4.500,Sí,20:32:58,23s,,
Playa de Puzol,Puzol (Valencia),Playa,1.000,Sí,20:32:03,1m 13s,,
Pico del Remedio,Utiel (Valencia),Espacio natural,2.000,Sí,20:32:43,33s,,
Playa de la Malvarrosa,Valencia (Valencia),Playa,10.000,Sí,20:32:24,1m 00s,,
Estaca de Bares,Mañón (A Coruña),Espacio natural,-,-,20:26:38,1m 47s,,
Garita de Bares,Mañón (A Coruña),Mirador,-,-,20:26:38,1m 47s,,
Semáforo de Bares,Mañón (A Coruña),Mirador,-,-,20:26:38,1m 47s,,
Castillo de San Antón,A Coruña (A Coruña),Paseo marítimo,-,-,20:27:35,1m 16s,,
Paseo Marítimo central,A Coruña (A Coruña),Paseo marítimo,-,-,20:27:35,1m 16s,,
Paseo Marítimo O Portiño,A Coruña (A Coruña),Paseo marítimo,-,-,20:27:35,1m 16s,,
Playa de Riazor-Orzán,A Coruña (A Coruña),Playa,-,-,20:27:35,1m 16s,,
Alcalá de Henares,Alcalá de Henares (Madrid),(sin especificar),-,-,20:31:47,40s,,
Las piscinas de Riosequillo,Buitrago del Lozoya (Madrid),Espacio natural,-,-,20:30:42,1m 19s,,
Puerto de Navacerrada,Cercedilla (Madrid),(sin especificar),-,-,20:31:34,35s,,
Colmenar Viejo,Colmenar Viejo (Madrid),(sin especificar),-,-,20:31:35,41s,,
El Molar,El Molar (Madrid),(sin especificar),-,-,20:31:15,1m 01s,,
La Cabrera,La Cabrera (Madrid),(sin especificar),-,-,20:30:58,1m 11s,,
Meco,Meco (Madrid),(sin especificar),-,-,20:31:33,52s,,
San Agustín del Guadalix,San Agustín del Guadalix (Madrid),(sin especificar),-,-,20:31:25,53s,,
Campo de fútbol Calle Teide,San Sebastián de los Reyes (Madrid),Explanada,20.000,-,20:31:48,31s,,
Villa de Somosierra,Somosierra (Madrid),(sin especificar),-,-,20:30:23,1m 29s,,
Tres Cantos,Tres Cantos (Madrid),(sin especificar),-,-,20:31:42,36s,,
Sendaviva,Arguedas (Navarra),Parque de atracciones,-,-,20:28:23,1m 13s,,
Bardenas Reales - Embalse El Ferial,Mélida (Navarra),Espacio natural,-,-,20:28:13,57s,,
Bardenas Reales - Aguilares,Arguedas (Navarra),Centro de visitantes,-,-,20:28:23,1m 13s,,
Arguedas,Arguedas (Navarra),(sin especificar),-,-,20:28:23,1m 13s,,
Buñuel,Buñuel (Navarra),(sin especificar),-,-,20:28:36,1m 20s,,
Cárcar,Cárcar (Navarra),(sin especificar),-,-,20:28:09,1m 11s,,
Cascante,Cascante (Navarra),(sin especificar),-,-,20:28:35,1m 25s,,
Castejón,Castejón (Navarra),(sin especificar),-,-,20:28:24,1m 16s,,
Corella,Corella (Navarra),(sin especificar),-,-,20:28:27,1m 22s,,
Fitero,Fitero (Navarra),(sin especificar),-,-,20:28:32,1m 26s,,
Larraga,Larraga (Navarra),(sin especificar),-,-,20:28:01,52s,,
Campo de Fútbol Viejo de Lerín,Lerín (Navarra),Explanada,5.000,Sí,20:28:04,1m 04s,,
Lodosa,Lodosa (Navarra),(sin especificar),-,-,20:28:07,1m 12s,,
Marcilla,Marcilla (Navarra),(sin especificar),-,-,20:28:14,1m 07s,,
Mendavia,Mendavia (Navarra),(sin especificar),-,-,20:28:05,1m 15s,,
Peralta,Peralta (Navarra),(sin especificar),-,-,20:28:13,1m 08s,,
Ribaforada,Ribaforada (Navarra),(sin especificar),-,-,20:28:35,1m 21s,,
Tafalla,Tafalla (Navarra),(sin especificar),-,-,20:28:05,45s,,
Tudela,Tudela (Navarra),(sin especificar),-,-,20:28:31,1m 20s,,
Viana,Viana (Navarra),(sin especificar),-,-,20:28:00,1m 16s,,
